# Hershey stroke text trail
# font_name=timesi, font_size=14
# char_spacing=1.0, word_spacing=3.0, line_spacing=15.0
14.5000 84.0000 33
14.5000 84.0000 -33
11.5000 73.5000 -33
11.5000 73.5000 33
15.0000 84.0000 33
15.0000 84.0000 -33
12.0000 73.5000 -33
12.0000 73.5000 33
13.0000 84.0000 33
13.0000 84.0000 -33
16.5000 84.0000 -33
16.5000 84.0000 33
10.0000 73.5000 33
10.0000 73.5000 -33
13.5000 73.5000 -33
13.5000 73.5000 33
23.0000 84.0000 33
23.0000 84.0000 -33
21.0000 77.0000 -33
20.5000 75.0000 -33
20.5000 74.0000 -33
21.0000 73.5000 -33
22.5000 73.5000 -33
23.5000 74.5000 -33
24.0000 75.5000 -33
24.0000 75.5000 33
23.5000 84.0000 33
23.5000 84.0000 -33
21.5000 77.0000 -33
21.0000 75.0000 -33
21.0000 74.0000 -33
21.5000 73.5000 -33
21.5000 73.5000 33
21.5000 84.0000 33
21.5000 84.0000 -33
23.5000 84.0000 -33
23.5000 84.0000 33
28.0000 80.5000 33
28.0000 80.5000 -33
26.5000 80.0000 -33
25.5000 78.5000 -33
25.0000 77.0000 -33
25.0000 75.5000 -33
25.5000 74.5000 -33
26.0000 74.0000 -33
27.0000 73.5000 -33
28.0000 73.5000 -33
29.5000 74.0000 -33
30.5000 75.5000 -33
31.0000 77.0000 -33
31.0000 78.5000 -33
30.5000 79.5000 -33
30.0000 80.0000 -33
29.0000 80.5000 -33
28.0000 80.5000 -33
27.0000 80.0000 -33
26.0000 78.5000 -33
25.5000 77.0000 -33
25.5000 75.0000 -33
26.0000 74.0000 -33
26.0000 74.0000 33
28.0000 73.5000 33
28.0000 73.5000 -33
29.0000 74.0000 -33
30.0000 75.5000 -33
30.5000 77.0000 -33
30.5000 79.0000 -33
30.0000 80.0000 -33
30.0000 80.0000 33
32.0000 78.5000 33
32.0000 78.5000 -33
32.5000 79.5000 -33
33.5000 80.5000 -33
35.0000 80.5000 -33
35.5000 80.0000 -33
35.5000 78.5000 -33
34.5000 75.5000 -33
34.5000 74.5000 -33
35.5000 73.5000 -33
35.5000 73.5000 33
34.5000 80.5000 33
34.5000 80.5000 -33
35.0000 80.0000 -33
35.0000 78.5000 -33
34.0000 75.5000 -33
34.0000 74.5000 -33
34.5000 74.0000 -33
35.5000 73.5000 -33
36.0000 73.5000 -33
